GCM Precipitation,(mm/year),GCM Projected Precipitation,(mm/year)),ln(mm/yr),GCM-rainfall for Daphne,Hatchling success
1950,797.2668025,2015,668.1445503,6.504504543,3.536929526,0.191385064
1951,801.8002285,2016,735.3655159,6.600367676,3.945591863,0.379772666
1952,588.0671837,2017,1022.914828,6.930411505,5.352561128,0.722766388
1953,810.6662054,2018,769.3094471,6.64549329,4.13796132,0.454620647
1954,666.9920506,2019,700.1748336,6.551330066,3.736545657,0.288397339
1955,363.5034671,2020,993.8372522,6.901573463,5.229625216,0.711680883
1956,661.1944541,2021,881.5412744,6.781671824,4.71848728,0.62681803
1957,779.8033321,2022,581.1059906,6.364933168,2.941939961,-0.154335314
1958,876.708737,2023,1095.947479,6.999374546,5.646548987,0.734613057
1959,827.5688482,2024,1290.322998,7.162647852,6.342579344,0.680225648
1960,841.9454624,2025,797.5615065,6.681558956,4.291708424,0.508075226
1961,613.1959669,2026,672.9569452,6.511681353,3.567524104,0.206872474
1962,774.6296465,2027,702.0145737,6.553954164,3.747732126,0.293551794
1963,849.8329128,2028,896.4783009,6.798474089,4.79011495,0.642476262
1964,757.7506794,2029,951.6354233,6.858182003,5.044648417,0.68818723
1965,993.7842542,2030,931.3590629,6.836644877,4.952836146,0.673486164
1966,885.3298572,2031,486.0911362,6.186396129,2.180840664,-0.720046535
1967,786.1174315,2032,575.6436154,6.355488746,2.901678605,-0.180788954
1968,660.4271155,2033,772.4676745,6.649590163,4.155426192,0.460977547
1969,742.2787302,2034,551.5522496,6.312736575,2.719427083,-0.305388328
1970,746.1481331,2035,487.4819068,6.189253176,2.193020186,-0.709902515
1971,716.7670752,2036,879.0870316,6.778883905,4.706602447,0.624101198
1972,668.0829883,2037,875.6350365,6.774949379,4.689829654,0.620209494
1973,809.4346228,2038,809.937561,6.696957159,4.357350612,0.529174796
1974,901.3066423,2039,1062.30382,6.968195244,5.51363234,0.731818152
1975,799.1949615,2040,1254.108857,7.134180525,6.221223782,0.698051295
1976,684.1491137,2041,713.2346533,6.569810473,3.815327208,0.324060916
1977,902.2530733,2042,796.6547814,6.680421437,4.286859209,0.506475635
1978,1072.377271,2043,737.6555457,6.603476975,3.958846734,0.38521395
1979,543.1712955,2044,401.9079921,5.996223187,1.370137777,-1.475067469
1980,623.7894639,2045,730.570939,6.593826337,3.917706282,0.368188058
1981,946.5280113,2046,975.4646766,6.882913949,5.150080136,0.702581256
1982,1532.856041,2047,1653.21683,7.410478263,7.399074694,0.376172548
1983,409.9927651,2048,1081.430006,6.986039524,5.589702093,0.733935028
1984,709.5327732,2049,770.7043302,6.647304811,4.145683792,0.457440489
1985,618.1997329,2050,756.336712,6.628486663,4.065462459,0.427452104
1986,561.165152,2051,593.187953,6.385511302,3.029664071,-0.098039506
1987,887.6428624,2052,846.8474993,6.74152063,4.547323666,0.584429184
1988,742.7821184,2053,777.8821983,6.656575097,4.185202806,0.471647417
1989,711.3024815,2054,833.0640217,6.725110496,4.47736764,0.56508661
1990,841.3715665,2055,762.6788748,6.636837071,4.101060055,0.440949249
1991,778.5442854,2056,879.528363,6.779385813,4.708742068,0.624592803
1992,609.7818043,2057,942.4334573,6.848465315,5.003226399,0.681804398
1993,731.6857656,2058,1246.260967,7.127903121,6.194463352,0.701507904
1994,711.5027431,2059,905.6535528,6.808656841,4.833523789,0.651368307
1995,1641.315366,2060,991.5543564,6.899273769,5.219821673,0.710641191
1996,434.5106888,2061,929.2375639,6.834364426,4.943114635,0.671811465
1997,846.6419833,2062,916.2376887,6.820275817,4.883055216,0.660963815
1998,942.334511,2063,674.7148841,6.514290208,3.578645591,0.212446828
1999,1353.264811,2064,1032.796914,6.940025851,5.393546865,0.725658469
2000,369.3404115,2065,959.6165277,6.866533754,5.080251743,0.693345375
2001,621.1506272,2066,890.1931259,6.791438435,4.760122119,0.63606904
2002,917.3227837,2067,690.9994832,6.538139076,3.680312768,0.262033042
2003,1727.366408,2068,1150.698975,7.048124841,5.854370375,0.730511706
2004,513.8782173,2069,2195.433543,7.69413482,8.608296082,-0.299590868
2005,792.3057611,2070,1215.269481,7.102721126,6.087113084,0.713651902
2006,911.4114841,2071,854.3094699,6.750293505,4.584722229,0.59428944
2007,781.5703799,2072,950.2442365,6.856719043,5.038411852,0.687252472
2008,1125.724842,2073,839.1901249,6.73243729,4.508601593,0.573867364
2009,751.0243337,2074,814.7159464,6.70283952,4.382426982,0.536963025
2010,698.4100003,2075,1475.060988,7.296454616,6.912994503,0.549233058
2011,1072.832201,2076,879.7269171,6.779611538,4.709704329,0.624813537
2012,1394.582546,2077,899.6040934,6.80195477,4.804953017,0.645566468
2013,816.0676694,2078,1112.69337,7.014538815,5.711193916,0.734444542
2014,732.4562593,2079,1519.297134,7.326003095,7.038958993,0.509812194
,,2080,783.4014897,6.663645323,4.215343017,0.482231535
,,2081,750.4519544,6.620675631,4.032164208,0.41455233
,,2082,836.3366933,6.729031275,4.494081831,0.569814478
,,2083,939.7610594,6.845625651,4.991120977,0.679861523
,,2084,596.3241493,6.390784394,3.052143142,-0.08391021
,,2085,757.2859675,6.629740946,4.070809439,0.429498809
,,2086,913.7903367,6.817601154,4.871653192,0.65880696
,,2087,1012.434576,6.920113181,5.308659607,0.719222738
,,2088,1859.529612,7.528078838,7.900403244,0.138464335
,,2089,944.5436849,6.850701938,5.012761072,0.683309993
,,2090,920.089653,6.824471114,4.900939674,0.664284256
,,2091,1074.885908,6.979969803,5.563827015,0.733370349
,,2092,913.6191301,6.817413778,4.870854411,0.658654693
,,2093,959.35495,6.866261132,5.079089558,0.693181789
,,2094,1087.516566,6.991651996,5.613627932,0.734314627
,,2095,833.6771208,6.725846182,4.480503853,0.56597883
,,2096,1019.632516,6.927197562,5.338860164,0.721709972
,,2097,803.7819322,6.689328004,4.324827697,0.518849713
,,2098,811.2894352,6.698624877,4.364460055,0.53139813
,,2099,746.7434524,6.615721689,4.011045667,0.406233509
,,2100,691.2980992,6.538571133,3.68215462,0.262908563
